ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
139105,BEND2,0.303855988,4.359998593,0.690024175,0.491700115,0.670974087,-6.385471402
6296,ACSM3,-0.261956969,8.173267189,-0.689802789,0.491838775,0.671121446,-6.385622216
65055,REEP1,0.240159192,8.723212837,0.689666974,0.49192385,0.671195675,-6.385714714
253573,LINC02052,-0.304232229,4.06714932,-0.689581466,0.491977417,0.671226905,-6.38577294
101927038,LINC02400,0.166682151,4.260072903,0.689454492,0.492056966,0.671293578,-6.385859389
197187,SNAI3-AS1,0.213929206,6.53616614,0.689397039,0.492092963,0.671300831,-6.385898501
475,ATOX1,0.296861344,9.246588349,0.689229644,0.49219785,0.671402055,-6.386012437
28387,IGHV5-78,-0.318385165,4.514033385,-0.689062579,0.492302543,0.671503001,-6.38612612
284485,RIIAD1,-0.334069089,7.79555065,-0.688960267,0.492366664,0.671548597,-6.386195727
23138,N4BP3,-0.24706931,5.858943746,-0.688809928,0.492460893,0.671635251,-6.386297992
84248,FYTTD1,0.189704079,10.93855141,0.688754323,0.492495747,0.671640921,-6.38633581
468,ATF4,-0.137773626,12.83064932,-0.688371472,0.492735761,0.67192636,-6.386596113
9185,REPS2,0.210687685,8.87653071,0.688242644,0.492816539,0.671991803,-6.386683672
83740 /// 474381 /// 474382,,-0.266050676,4.378704732,-0.688196752,0.492845316,0.671991803,-6.386714858
101928861,LOC101928861,0.317565419,4.39432156,0.688147997,0.492875889,0.671991803,-6.386747989
51329,ARL6IP4,-0.117083403,10.45973082,-0.688022432,0.492954634,0.672057287,-6.386833303
5593,PRKG2,0.173978104,6.596839823,0.687526327,0.493265818,0.672409413,-6.387170225
22880,MORC2,0.130204904,11.95018385,0.687461312,0.493306607,0.672409413,-6.387214361
5610,EIF2AK2,0.146032739,11.56372517,0.687433071,0.493324326,0.672409413,-6.387233532
5456,POU3F4,-0.276221124,5.353024463,-0.687385156,0.493354388,0.672409413,-6.387266055
2913,GRM3,0.305623195,5.444053524,0.687365728,0.493366578,0.672409413,-6.387279242
6301,SARS1,-0.151482213,10.19677001,-0.686648312,0.493816819,0.672944043,-6.387765926
474,ATOH1,0.261840471,4.560077306,0.686642665,0.493820364,0.672944043,-6.387769755
6375,XCL1,-0.37621393,6.927521891,-0.68629431,0.494039069,0.673190323,-6.38800589
8031,NCOA4,0.139625229,13.4406606,0.686256796,0.494062624,0.673190323,-6.388031312
25824,PRDX5,0.229609362,12.26407638,0.686066812,0.494181925,0.673310948,-6.388160037
6783,SULT1E1,0.307278768,5.291425661,0.685964455,0.494246206,0.6733566,-6.388229375
340094,LINC01020,0.226814288,4.453640678,0.685558732,0.494501052,0.673656688,-6.388504117
4069,LYZ,0.386066131,10.10421097,0.685515758,0.49452805,0.673656688,-6.388533208
406905 /// 406922 /// 102723167,,-0.280754364,4.313769833,-0.685289891,0.494669958,0.673808048,-6.388686079
255758,DYNLT2B,0.164877616,10.12717845,0.685237971,0.494702582,0.673810538,-6.388721212
134147,CMBL,0.186539941,13.27160288,0.685138076,0.494765353,0.673854088,-6.388788801
100422781,LOC100422781,-0.247109663,4.803726873,-0.684853765,0.494944031,0.674055483,-6.388981114
50846,DHH,0.241007817,4.378283691,0.684707184,0.495036165,0.674138998,-6.389080233
80032,ZNF556,0.343080005,6.054475014,0.68448869,0.495173516,0.674266003,-6.38922794
